gene	role	n_measurements	wu2025_dp_overlap
CHSY1	resister	1	NO
CILP	resister	1	NO
CKMT1B	resister	1	NO
CLCN7	resister	1	NO
CLDN11	resister	1	NO
CLDN20	resister	1	NO
CLDN22	resister	1	NO
CLDN6	resister	1	NO
CLDN9	resister	1	NO
CLECL1	resister	1	NO
CLIC1	resister	1	NO
CLK1	resister	1	NO
CLPSL2	resister	1	NO
CMC1	resister	1	NO
CMC4	resister	1	NO
CMTM3	resister	1	NO
CMTM6	resister	1	NO
CMTR2	resister	1	NO
CNOT1	resister	1	NO
CNOT10	resister	1	NO
CNOT4	resister	1	NO
CNOT8	resister	1	NO
CNP	resister	1	NO
CNPY3	resister	1	NO
CNST	resister	1	NO
CNTD1	resister	1	NO
CNTNAP1	resister	1	NO
CNTNAP3	resister	1	NO
COA4	resister	1	NO
COG8	resister	1	NO
COIL	resister	1	NO
COL17A1	resister	1	NO
COL18A1	resister	1	NO
COL23A1	resister	1	NO
COL25A1	resister	1	NO
COL5A1	resister	1	NO
COLEC12	resister	1	NO
COMMD3	resister	1	NO
COMTD1	resister	1	NO
COPB2	resister	1	NO
COPE	resister	1	NO
COPZ1	resister	1	NO
COQ4	resister	1	NO
COQ9	resister	1	NO
CORO1C	resister	1	NO
COX16	resister	1	NO
COX20	resister	1	NO
COX5A	resister	1	NO
COX6B1	resister	1	NO
CPA3	resister	1	NO
CPPED1	resister	1	NO
CPSF4	resister	1	NO
CPSF6	resister	1	NO
CPSF7	resister	1	NO
CPXM2	resister	1	NO
CR2	resister	1	NO
CRAMP1L	resister	1	NO
CRCP	resister	1	NO
CREB3L2	resister	1	NO
CREBRF	resister	1	NO
CRIPT	resister	1	NO
CRKL	resister	1	NO
CRMP1	resister	1	NO
CRTC1	resister	1	NO
CRTC3	resister	1	NO
CSE1L	resister	1	NO
CSHL1	resister	1	NO
CSK	resister	1	NO
CSNK1A1	resister	1	NO
CST4	resister	1	NO
CST8	resister	1	NO
CSTF3	resister	1	NO
CTBP1	resister	1	NO
CTDP1	resister	1	NO
CTDSP2	resister	1	NO
CTNNA1	resister	1	NO
CTNND1	resister	1	NO
CTR9	resister	1	NO
CTRLHS	resister	1	NO
CTSO	resister	1	NO
CTU1	resister	1	NO
CTXN3	resister	1	NO
CUEDC2	resister	1	NO
CUL1	resister	1	NO
CUL4B	resister	1	NO
CUL5	resister	1	NO
CUL7	resister	1	NO
CUL9	resister	1	NO
CUTA	resister	1	NO
CUX1	resister	1	NO
CWC15	resister	1	NO
CWC22	resister	1	NO
CXCL2	resister	1	NO
CXCL3	resister	1	NO
CXCR6	resister	1	NO
CXXC5	resister	1	NO
CYB5D1	resister	1	NO
CYP27C1	resister	1	NO
CYP2A7	resister	1	NO
CYP4F11	resister	1	NO
CYP4F2	resister	1	NO
CYTH1	resister	1	NO
DAAM2	resister	1	NO
DAB1	resister	1	NO
DACT2	resister	1	NO
DAXX	resister	1	NO
DAZAP1	resister	1	NO
DBN1	resister	1	NO
DBR1	resister	1	NO
DCAF12	resister	1	NO
DCP1A	resister	1	NO
DCP2	resister	1	NO
DDA1	resister	1	NO
DDAH2	resister	1	NO
DDB1	resister	1	NO
DDR1	resister	1	NO
DDR2	resister	1	NO
DDX10	resister	1	NO
DDX18	resister	1	NO
DDX19A	resister	1	NO
DDX27	resister	1	NO
DDX39B	resister	1	NO
DDX49	resister	1	NO
DDX51	resister	1	NO
DDX54	resister	1	NO
DDX58	resister	1	NO
DEAF1	resister	1	NO
